route_id,corridor_name,origin_district_name,origin_location,destination_district_name,destination_location,primary_checkpost,transport_mode,route_type,primary_contraband,observation_count,confidence_level,risk_intensity,waypoints_json,last_observed_date,disclaimer
CORR-001,Walayar - Coimbatore - Salem Highway Corridor,Coimbatore,Walayar Interstate Toll Post,Salem,NH544 Steel Plant Toll Road Junction,Walayar Checkpost,ROAD_HIGHWAY,INTER_DISTRICT,Ganja / Synthetic MDMA,14,HIGH,HIGH,"[[76.8541, 10.8654], [76.9558, 11.0168], [77.3411, 11.1085], [77.7172, 11.3410], [78.1460, 11.6643]]",2026-08-16,"HISTORICAL SPATIAL ASSOCIATION: Statistically recurrent spatial telemetry. Does not prove individual transport guilt."
CORR-002,Krishnagiri - Vellore - Chennai Transit Route,Krishnagiri,Zuzuvadi Interstate Border Post,Chennai,Egmore Parcel Sorting Depot,Zuzuvadi Border Post,ROAD_HIGHWAY,INTER_DISTRICT,Synthetic Stimulants / Opioids,19,HIGH,HIGH,"[[77.8253, 12.7409], [78.2137, 12.5186], [78.5678, 12.4925], [79.1325, 12.9165], [79.7036, 12.8342], [80.2707, 13.0827]]",2026-08-16,"HISTORICAL SPATIAL ASSOCIATION: Statistically recurrent spatial telemetry. Does not prove individual transport guilt."
CORR-003,Puliyarai - Tenkasi - Tirunelveli Border Corridor,Tenkasi,Puliyarai Border Ghat Checkpoint,Tirunelveli,Palayamkottai Central Road,Puliyarai Checkpost,ROAD_HIGHWAY,INTER_DISTRICT,Prescription Narcotics / Ganja,8,MEDIUM,HIGH,"[[77.1541, 8.9654], [77.3152, 8.9594], [77.7567, 8.7139]]",2026-08-17,"HISTORICAL SPATIAL ASSOCIATION: Statistically recurrent spatial telemetry. Does not prove individual transport guilt."
CORR-004,Madurai - Thoothukudi Coastal Logistics Link,Madurai,Mattuthavani Bus Stand,Thoothukudi,Old Port Wharf Anchorage,Madurai Toll Plaza,ROAD_HIGHWAY,INTER_DISTRICT,Commercial Ganja / Transit Packets,11,HIGH,HIGH,"[[78.1198, 9.9252], [77.9514, 9.5872], [78.1348, 8.7642]]",2026-08-16,"HISTORICAL SPATIAL ASSOCIATION: Statistically recurrent spatial telemetry. Does not prove individual transport guilt."
CORR-005,Kumily - Theni - Dindigul Agricultural Link,Theni,Kumily Forest Border Checkpoint,Dindigul,Dindigul Junction Sector,Kumily Checkpost,ROAD_HIGHWAY,INTER_DISTRICT,Commercial Ganja,6,MEDIUM,WATCH,"[[77.1654, 9.6154], [77.4768, 10.0104], [77.9803, 10.3673]]",2026-08-15,"HISTORICAL SPATIAL ASSOCIATION: Statistically recurrent spatial telemetry. Does not prove individual transport guilt."
CORR-006,Chennai - Coastal Coromandel Railway Freight Axis,Chennai,Chennai Central Parcel Depot,Nagapattinam,Nagapattinam Port Approach,Chennai Central Station,RAILWAY,INTER_DISTRICT,Prescription Painkillers,7,MEDIUM,WATCH,"[[80.2707, 13.0827], [79.9836, 12.6841], [79.7714, 11.7480], [79.8449, 10.7672]]",2026-08-15,"HISTORICAL SPATIAL ASSOCIATION: Statistically recurrent spatial telemetry. Does not prove individual transport guilt."
CORR-007,Kerala (Palakkad) - Walayar - Coimbatore Inter-State Axis,Coimbatore,Walayar Interstate Toll Post,Coimbatore,Gandhipuram Cross Cut Road,Walayar Border Post,ROAD_HIGHWAY,INTER_STATE,Ganja / Synthetic MDMA,23,HIGH,HIGH,"[[76.6548, 10.7867], [76.8541, 10.8654], [76.9558, 11.0168]]",2026-08-18,"HISTORICAL SPATIAL ASSOCIATION: Interstate route connection from Kerala. Does not prove individual transport guilt."
CORR-008,Karnataka (Bengaluru) - Attibele - Hosur Gateway,Krishnagiri,Zuzuvadi Interstate Border Post,Krishnagiri,Hosur SIPCOT Phase 2,Zuzuvadi Checkpost,ROAD_HIGHWAY,INTER_STATE,Synthetic Stimulants / Meth,31,HIGH,HIGH,"[[77.5946, 12.9716], [77.7845, 12.7845], [77.8253, 12.7409], [78.2137, 12.5186]]",2026-08-18,"HISTORICAL SPATIAL ASSOCIATION: Interstate route connection from Karnataka. Does not prove individual transport guilt."
CORR-009,Andhra Pradesh (Tirupati) - Chittoor - Vellore - Chennai Gateway,Vellore,Katpadi Railway Junction,Chennai,Egmore Railway Goods Terminal,Katpadi Checkpost,RAILWAY,INTER_STATE,Prescription Narcotics / Opioids,16,HIGH,HIGH,"[[79.4192, 13.6288], [79.1003, 13.2172], [79.1325, 12.9165], [80.2707, 13.0827]]",2026-08-17,"HISTORICAL SPATIAL ASSOCIATION: Interstate route connection from Andhra Pradesh. Does not prove individual transport guilt."
CORR-010,Maharashtra (Mumbai) - Karnataka - Krishnagiri Central Axis,Krishnagiri,Zuzuvadi Interstate Border Post,Salem,Shevapet Commercial Street,Hosur Border Post,ROAD_HIGHWAY,INTER_STATE,Synthetic Chemical Precursors,12,MEDIUM,HIGH,"[[72.8777, 19.0760], [77.5946, 12.9716], [78.2137, 12.5186], [78.1460, 11.6643]]",2026-08-16,"HISTORICAL SPATIAL ASSOCIATION: National freight corridor connection. Does not prove individual transport guilt."
