alert_id,district_id,district_name,created_at,alert_type,priority_level,status,trigger_summary,confidence_score
ALT-2026-00001,3,Madurai,2025-10-18 16:47:39,NEW_SIGNAL,HIGH,RESOLVED,Statistically significant pattern change observed in Madurai jurisdiction.,94
ALT-2026-00002,6,Tirunelveli,2024-09-28 18:40:26,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,80
ALT-2026-00003,4,Salem,2025-02-22 17:54:32,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Salem jurisdiction.,90
ALT-2026-00004,28,Pudukkottai,2025-05-23 05:12:49,RAPID_INCREASE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Pudukkottai jurisdiction.,72
ALT-2026-00005,11,Dindigul,2025-03-29 15:09:19,CORRIDOR_SURGE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Dindigul jurisdiction.,72
ALT-2026-00006,30,Ramanathapuram,2024-11-21 08:06:33,DATA_ANOMALY,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,86
ALT-2026-00007,8,Tiruppur,2025-07-09 16:50:55,DATA_ANOMALY,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruppur jurisdiction.,70
ALT-2026-00008,22,Dharmapuri,2025-02-05 18:57:08,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,81
ALT-2026-00009,7,Erode,2026-02-28 14:34:39,HIGH_RISK_LOW_CONFIDENCE,HIGH,RESOLVED,Statistically significant pattern change observed in Erode jurisdiction.,88
ALT-2026-00010,21,Kallakurichi,2025-09-06 03:28:47,EMERGING_ZONE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Kallakurichi jurisdiction.,81
ALT-2026-00011,25,Karur,2025-01-17 01:18:31,NEW_SIGNAL,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Karur jurisdiction.,80
ALT-2026-00012,1,Chennai,2026-06-27 04:47:10,NEW_SIGNAL,MEDIUM,RESOLVED,Statistically significant pattern change observed in Chennai jurisdiction.,90
ALT-2026-00013,2,Coimbatore,2026-07-16 13:11:58,HIGH_RISK_LOW_CONFIDENCE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Coimbatore jurisdiction.,69
ALT-2026-00014,4,Salem,2026-07-13 03:31:15,DATA_ANOMALY,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Salem jurisdiction.,86
ALT-2026-00015,1,Chennai,2025-09-05 02:10:27,RAPID_INCREASE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Chennai jurisdiction.,91
ALT-2026-00016,28,Pudukkottai,2025-04-28 00:57:49,DATA_ANOMALY,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Pudukkottai jurisdiction.,79
ALT-2026-00017,31,Virudhunagar,2025-08-09 23:35:05,NEW_SIGNAL,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Virudhunagar jurisdiction.,84
ALT-2026-00018,32,Theni,2025-02-14 22:59:05,CORRIDOR_SURGE,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Theni jurisdiction.,70
ALT-2026-00019,31,Virudhunagar,2025-09-11 20:10:58,CORRIDOR_SURGE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Virudhunagar jurisdiction.,96
ALT-2026-00020,11,Dindigul,2025-07-22 17:31:47,RAPID_INCREASE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dindigul jurisdiction.,93
ALT-2026-00021,30,Ramanathapuram,2025-12-17 04:29:59,CORRIDOR_SURGE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,69
ALT-2026-00022,38,Tiruvannamalai,2025-12-20 12:43:40,CORRIDOR_SURGE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,96
ALT-2026-00023,17,Chengalpattu,2025-10-19 12:53:55,EMERGING_ZONE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Chengalpattu jurisdiction.,66
ALT-2026-00024,23,Namakkal,2025-03-18 05:32:55,EMERGING_ZONE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Namakkal jurisdiction.,80
ALT-2026-00025,23,Namakkal,2026-03-02 23:10:26,NEW_SIGNAL,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Namakkal jurisdiction.,69
ALT-2026-00026,33,Thiruvarur,2025-11-30 15:02:11,NEW_SIGNAL,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Thiruvarur jurisdiction.,66
ALT-2026-00027,20,Viluppuram,2025-12-16 00:04:10,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Viluppuram jurisdiction.,93
ALT-2026-00028,10,Krishnagiri,2025-07-25 17:34:33,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Krishnagiri jurisdiction.,78
ALT-2026-00029,22,Dharmapuri,2025-03-05 04:49:32,RAPID_INCREASE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Dharmapuri jurisdiction.,86
ALT-2026-00030,26,Ariyalur,2025-05-11 06:13:59,EMERGING_ZONE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Ariyalur jurisdiction.,96
ALT-2026-00031,12,Thanjavur,2025-03-18 18:01:52,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Thanjavur jurisdiction.,76
ALT-2026-00032,31,Virudhunagar,2026-07-28 12:10:43,CORRIDOR_SURGE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Virudhunagar jurisdiction.,96
ALT-2026-00033,4,Salem,2025-11-23 18:33:58,CORRIDOR_SURGE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Salem jurisdiction.,96
ALT-2026-00034,18,Tiruvallur,2025-01-07 02:59:39,CORRIDOR_SURGE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruvallur jurisdiction.,83
ALT-2026-00035,10,Krishnagiri,2026-04-08 03:15:34,NEW_SIGNAL,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Krishnagiri jurisdiction.,84
ALT-2026-00036,38,Tiruvannamalai,2025-05-27 12:02:04,NEW_SIGNAL,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,94
ALT-2026-00037,35,Mayiladuthurai,2026-06-09 21:19:42,DATA_ANOMALY,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Mayiladuthurai jurisdiction.,89
ALT-2026-00038,16,Kancheepuram,2025-04-26 01:44:44,RAPID_INCREASE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Kancheepuram jurisdiction.,93
ALT-2026-00039,32,Theni,2025-01-13 19:40:12,DATA_ANOMALY,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Theni jurisdiction.,86
ALT-2026-00040,23,Namakkal,2025-01-22 00:54:14,RAPID_INCREASE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Namakkal jurisdiction.,85
ALT-2026-00041,33,Thiruvarur,2025-02-23 09:25:29,HIGH_RISK_LOW_CONFIDENCE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Thiruvarur jurisdiction.,77
ALT-2026-00042,10,Krishnagiri,2025-11-10 13:41:14,DATA_ANOMALY,ADVISORY,RESOLVED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,82
ALT-2026-00043,1,Chennai,2026-04-27 12:20:27,EMERGING_ZONE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Chennai jurisdiction.,93
ALT-2026-00044,36,Ranipet,2025-01-26 06:33:50,NEW_SIGNAL,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Ranipet jurisdiction.,79
ALT-2026-00045,27,Perambalur,2026-02-21 09:25:00,DATA_ANOMALY,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Perambalur jurisdiction.,65
ALT-2026-00046,38,Tiruvannamalai,2025-09-29 13:30:54,NEW_SIGNAL,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,92
ALT-2026-00047,31,Virudhunagar,2026-05-25 22:16:27,DATA_ANOMALY,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Virudhunagar jurisdiction.,84
ALT-2026-00048,34,Nagapattinam,2024-10-06 13:45:29,DATA_ANOMALY,CRITICAL,RESOLVED,Statistically significant pattern change observed in Nagapattinam jurisdiction.,72
ALT-2026-00049,28,Pudukkottai,2026-07-20 06:48:39,EMERGING_ZONE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,87
