district_id,district_code,district_name,headquarters,latitude,longitude,population_indicator,coverage_status,administrative_status
1,CHN,Chennai,Chennai,13.0827,80.2707,7100000,GOOD,METROPOLITAN_HQ
2,CBE,Coimbatore,Coimbatore,11.0168,76.9558,3450000,GOOD,ZONAL_COMMAND
3,MDU,Madurai,Madurai,9.9252,78.1198,3038000,GOOD,ZONAL_COMMAND
4,SLM,Salem,Salem,11.6643,78.1460,3480000,GOOD,TRANSIT_CORRIDOR_HUB
5,TRY,Tiruchirappalli,Tiruchirappalli,10.7905,78.7047,2722000,GOOD,CENTRAL_COMMAND
6,TNI,Tirunelveli,Tirunelveli,8.7139,77.7567,1665000,MODERATE,SOUTHERN_SUB_ZONE
7,ERD,Erode,Erode,11.3410,77.7172,2250000,GOOD,KONGU_BELT
8,TPR,Tiruppur,Tiruppur,11.1085,77.3411,2479000,GOOD,INDUSTRIAL_CLUSTER
9,VEL,Vellore,Vellore,12.9165,79.1325,1614000,GOOD,NORTHERN_GATEWAY
10,KRI,Krishnagiri,Krishnagiri,12.5186,78.2137,1879000,GOOD,INTERSTATE_BORDER_HQ
11,DPI,Dharmapuri,Dharmapuri,12.1211,78.1582,1506000,MODERATE,RURAL_DISTRICT
12,DGL,Dindigul,Dindigul,10.3673,77.9803,2159000,MODERATE,JUNCTION_DISTRICT
13,KKI,Kanyakumari,Nagercoil,8.0883,77.5385,1870000,GOOD,COASTAL_SOUTHERN_TIP
14,TSI,Tenkasi,Tenkasi,8.9594,77.3152,1407000,MODERATE,BORDER_GHAT_SECTOR
15,THN,Theni,Theni,10.0104,77.4768,1245000,MODERATE,HILL_BORDER_SECTOR
16,NKL,Namakkal,Namakkal,11.2189,78.1674,1726000,MODERATE,LOGISTICS_HIGHWAY_BELT
17,KRR,Karur,Karur,10.9601,78.0766,1064000,MODERATE,CENTRAL_TRANSIT
18,TNJ,Thanjavur,Thanjavur,10.7870,79.1378,2405000,GOOD,DELTA_ZONE_HQ
19,NAG,Nagapattinam,Nagapattinam,10.7672,79.8449,1616000,MODERATE,COASTAL_SURVEILLANCE
20,TUV,Tiruvarur,Tiruvarur,10.7725,79.6365,1264000,MODERATE,DELTA_SECTOR
21,CUD,Cuddalore,Cuddalore,11.7480,79.7714,2605000,GOOD,COASTAL_INDUSTRIAL
22,VLP,Viluppuram,Viluppuram,11.9401,79.4861,2093000,MODERATE,HIGHWAY_CORRIDOR
23,TVM,Tiruvannamalai,Tiruvannamalai,12.2253,79.0747,2464000,MODERATE,INTERIOR_TEMPLE_DISTRICT
24,KCH,Kanchipuram,Kanchipuram,12.8342,79.7036,1665000,GOOD,SUBURBAN_INDUSTRIAL
25,TVL,Tiruvallur,Tiruvallur,13.1432,79.9074,3728000,GOOD,NORTH_BORDER_METRO
26,PUD,Pudukkottai,Pudukkottai,10.3797,78.8208,1618000,MODERATE,SOUTHERN_INTERIOR
27,SVG,Sivaganga,Sivaganga,9.8433,78.4809,1339000,MODERATE,SOUTHERN_SECTOR
28,RMD,Ramanathapuram,Ramanathapuram,9.3639,78.8395,1353000,MODERATE,COASTAL_MARITIME_BORDER
29,VRD,Virudhunagar,Virudhunagar,9.5872,77.9514,1942000,GOOD,INDUSTRIAL_HIGHWAY
30,TUT,Thoothukudi,Thoothukudi,8.7642,78.1348,1750000,GOOD,MAJOR_PORT_COMMAND
31,NLG,Nilgiris,Udhagamandalam,11.4102,76.6950,735000,MODERATE,HILL_BORDER_TOURISM
32,ARI,Ariyalur,Ariyalur,11.1400,79.0786,754000,LIMITED,MINERAL_INDUSTRIAL
33,PER,Perambalur,Perambalur,11.2335,78.8819,565000,LIMITED,CENTRAL_RURAL
34,KLR,Kallakurichi,Kallakurichi,11.7384,78.9639,1370000,MODERATE,AGRICULTURAL_INTERIOR
35,RPT,Ranipet,Ranipet,12.9272,79.3330,1210000,GOOD,INDUSTRIAL_LEATHER_BELT
36,TPT,Tirupathur,Tirupathur,12.4925,78.5678,1110000,MODERATE,INTERSTATE_HIGHWAY
37,CGL,Chengalpattu,Chengalpattu,12.6841,79.9836,2556000,GOOD,METRO_SUBURBAN_COASTAL
38,MYL,Mayiladuthurai,Mayiladuthurai,11.1075,79.6524,918000,LIMITED,COASTAL_DELTA
