fir_id,station_code,station_name,district_name,taluk_name,incident_date,incident_time,offence_section,contraband_type,seized_quantity_kg,vehicle_seized,location_name,latitude,longitude,severity,status,notes
FIR/CBE/104/26,PS-CBE-NORTH,Coimbatore North Police Station,Coimbatore,Coimbatore North,2026-08-16,14:30:00,NDPS Sec 8c/20b/22,Synthetic MDMA Tablets,0.450,2-Wheeler TN38AX1200,Gandhipuram Cross Cut Road,11.0168,76.9558,HIGH,CHARGE_SHEET_FILED,Commercial parcel intercept
FIR/CHN/412/26,PS-CHN-EGM,Egmore Railway Police Station,Chennai,Egmore,2026-08-16,16:40:00,NDPS Sec 21/22,Prescription Opioids,1.200,None,Egmore Railway Goods Terminal,13.0827,80.2607,HIGH,UNDER_INVESTIGATION,Unmanifested cargo shipment
FIR/KRI/88/26,PS-KRI-HOS,Hosur Town Police Station,Krishnagiri,Hosur,2026-08-15,18:30:00,NDPS Sec 20b/25,Ganja / Cannabis,24.500,Lorry KA01E4490,Hosur SIPCOT Phase 2,12.7154,77.8541,HIGH,UNDER_INVESTIGATION,Industrial transit hub raid
FIR/MDU/201/26,PS-MDU-MAT,Mattuthavani Police Station,Madurai,Madurai South,2026-08-15,20:10:00,NDPS Sec 20b,Ganja / Cannabis,18.000,Auto TN58K3312,Mattuthavani Bus Stand,9.9451,78.1541,HIGH,ARREST_PROCESSED,Approach road surveillance
FIR/VEL/77/26,PS-VEL-KAT,Katpadi Police Station,Vellore,Katpadi,2026-08-16,13:10:00,NDPS Sec 22,Prescription Ampoules,0.850,None,Katpadi Railway Junction,12.9654,79.1354,HIGH,UNDER_INVESTIGATION,Train courier intercept
FIR/TPR/109/26,PS-TPR-IND,Tiruppur Industrial Station,Tiruppur,Tiruppur,2026-08-15,19:45:00,NDPS Sec 21,Tramadol Tablets,0.600,None,Avinashi Road Textile Cluster,11.1154,77.3451,HIGH,CHARGE_SHEET_FILED,Dormitory inspection
FIR/TUT/89/26,PS-TUT-MAR,Thoothukudi Marine Police,Thoothukudi,Thoothukudi,2026-08-16,05:15:00,NDPS Sec 20b/23,Commercial Ganja,42.000,Motor Boat IND-TN-04,Old Port Wharf Anchorage,8.7854,78.1554,CRITICAL,UNDER_INVESTIGATION,Coastal marine intercept
FIR/RMD/34/26,PS-RMD-MAN,Mandapam Coastal Station,Ramanathapuram,Rameshwaram,2026-08-14,03:20:00,NDPS Sec 20/23,Commercial Ganja,35.000,FRP Vessel,Mandapam Coastal Road,9.2754,79.1254,HIGH,UNDER_INVESTIGATION,Maritime transit cache
FIR/TNI/51/26,PS-TNI-PAL,Palayamkottai Police Station,Tirunelveli,Palayamkottai,2026-08-14,17:20:00,NDPS Sec 20b,Ganja Small Quantity,1.800,2-Wheeler,Palayamkottai Central Road,8.7154,77.7451,MEDIUM,CHARGE_SHEET_FILED,Local retail peddler
FIR/SLM/122/26,PS-SLM-SHE,Shevapet Police Station,Salem,Salem,2026-08-13,11:00:00,NDPS Sec 20b/22,Synthetic Tablets,0.350,None,Shevapet Commercial Street,11.6541,78.1345,MEDIUM,UNDER_INVESTIGATION,Commercial area sweep
