complaint_id,source_type,source_record_id,district_name,taluk_name,locality,latitude,longitude,reported_date,reported_time,incident_type,drug_category,description,verification_status,priority,created_at
CMP-2026-001,POLICE,FIR/CBE/104/26,Coimbatore,Coimbatore North,Gandhipuram Cross Cut Road,11.0168,76.9558,2026-08-16,14:30:00,SEIZURE_ENFORCEMENT,SUPPLY_SALE,[REDACTED] Interception of parcel distribution node near retail market hub. Confiscated 280 synthetic stimulant tablets.,VERIFIED,HIGH,2026-08-16 15:00:00
CMP-2026-002,CITIZEN,TIP-9821,Coimbatore,Coimbatore South,Singanallur Bus Terminal,11.0021,77.0254,2026-08-16,19:15:00,COMMUNITY_CONCERN,SUPPLY_SALE,[REDACTED] Suspicious late-night handoffs reported near rear bus parking shed.,UNVERIFIED,MEDIUM,2026-08-16 19:30:00
CMP-2026-003,CHECKPOST,CP-WAL-09,Coimbatore,Madukkarai,Walayar Interstate Toll Post,10.8654,76.8541,2026-08-15,03:45:00,TRANSPORT_TRANSIT,TRANSPORT_TRANSIT,[REDACTED] Heavy container carrier detained during routine weight discrepancy scan. Secondary check flagged concealed compartment.,VERIFIED,HIGH,2026-08-15 04:30:00
CMP-2026-004,HELPLINE,HL-1058-441,Coimbatore,Coimbatore North,Peelamedu Educational Zone,11.0284,77.0028,2026-08-17,11:20:00,COMMUNITY_CONCERN,COMMUNITY_CONCERN,[REDACTED] Caller flagged vulnerable youth gathering spot behind private hostel mess.,UNDER_REVIEW,HIGH,2026-08-17 11:45:00
CMP-2026-005,HEALTH,HOS-CMCH-88,Coimbatore,Coimbatore South,Coimbatore Medical College Hospital,11.0089,76.9654,2026-08-14,22:10:00,HEALTH_EMERGENCY,HEALTH_EMERGENCY,[REDACTED] Aggregate emergency intake of 4 individuals showing severe acute synthetic stimulant toxicity.,CORROBORATED,CRITICAL,2026-08-15 01:00:00
CMP-2026-006,POLICE,FIR/CHN/412/26,Chennai,Egmore,Egmore Railway Parcel Terminal,13.0827,80.2607,2026-08-16,16:40:00,SEIZURE_ENFORCEMENT,SUPPLY_SALE,[REDACTED] Joint RPF and City Police search intercepted parcel consignment with unmanifested pharmaceutical painkillers.,VERIFIED,HIGH,2026-08-16 17:15:00
CMP-2026-007,CITIZEN,TIP-9844,Chennai,Mylapore,Marina Beach Service Road,13.0418,80.2824,2026-08-17,21:00:00,COMMUNITY_CONCERN,COMMUNITY_CONCERN,[REDACTED] Unlit section near promenade reported with recurring unverified drug exchanges.,UNVERIFIED,MEDIUM,2026-08-17 21:20:00
CMP-2026-008,CHECKPOST,CP-ZUZ-14,Krishnagiri,Hosur,Zuzuvadi Interstate Border Post,12.7409,77.8253,2026-08-16,02:15:00,TRANSPORT_TRANSIT,TRANSPORT_TRANSIT,[REDACTED] Interstate night bus passenger luggage scanner triggered alarm on synthetic stimulant cache.,VERIFIED,HIGH,2026-08-16 03:00:00
CMP-2026-009,POLICE,FIR/KRI/88/26,Krishnagiri,Hosur,Hosur SIPCOT Phase 2,12.7154,77.8541,2026-08-15,18:30:00,SEIZURE_ENFORCEMENT,TRANSPORT_TRANSIT,[REDACTED] Intercepted industrial warehouse transit hub handling concealed chemical shipments.,VERIFIED,HIGH,2026-08-15 19:00:00
CMP-2026-010,CITIZEN,TIP-9901,Salem,Salem,Shevapet Commercial Street,11.6541,78.1345,2026-08-14,15:20:00,COMMUNITY_CONCERN,SUPPLY_SALE,[REDACTED] Small vendor stall flagged for illicit tablet supply to local youth.,NEEDS_VERIFICATION,MEDIUM,2026-08-14 16:00:00
CMP-2026-011,CHECKPOST,CP-TSI-03,Tenkasi,Sengottai,Puliyarai Border Ghat Checkpost,8.9654,77.1541,2026-08-17,04:50:00,TRANSPORT_TRANSIT,TRANSPORT_TRANSIT,[REDACTED] Ghat road early morning freight patrol flagged suspicious small commercial carrier.,NEEDS_VERIFICATION,HIGH,2026-08-17 05:30:00
CMP-2026-012,POLICE,FIR/MDU/201/26,Madurai,Madurai South,Mattuthavani Bus Stand,9.9451,78.1541,2026-08-15,20:10:00,SEIZURE_ENFORCEMENT,SUPPLY_SALE,[REDACTED] Seizure of 18 kg commercial ganja during special railway approach surveillance.,VERIFIED,HIGH,2026-08-15 21:00:00
CMP-2026-013,HEALTH,HOS-TRY-12,Tiruchirappalli,Tiruchirappalli,Trichy Govt Medical College,10.7954,78.6941,2026-08-13,10:30:00,REHAB_SERVICE_NEED,REHAB_SERVICE_NEED,[REDACTED] Spike in voluntary requests for opiate de-addiction counseling intake.,VERIFIED,LOW,2026-08-13 11:00:00
CMP-2026-014,POLICE,FIR/VEL/77/26,Vellore,Katpadi,Katpadi Railway Junction,12.9654,79.1354,2026-08-16,13:10:00,SEIZURE_ENFORCEMENT,TRANSPORT_TRANSIT,[REDACTED] Intercepted interstate train courier carrying pharmaceutical narcotic ampoules.,VERIFIED,HIGH,2026-08-16 14:00:00
CMP-2026-015,CITIZEN,TIP-9932,Dharmapuri,Harur,Harur Bus Stand,12.0654,78.4954,2026-08-12,18:40:00,COMMUNITY_CONCERN,COMMUNITY_CONCERN,[REDACTED] Single uncorroborated tip regarding youth loitering in abandoned godown.,UNVERIFIED,LOW,2026-08-12 19:00:00
CMP-2026-016,POLICE,FIR/TNI/51/26,Tirunelveli,Palayamkottai,Palayamkottai Central Road,8.7154,77.7451,2026-08-14,17:20:00,SEIZURE_ENFORCEMENT,SUPPLY_SALE,[REDACTED] Local retail peddler intercepted with small commercial cannabis packets.,VERIFIED,MEDIUM,2026-08-14 18:00:00
CMP-2026-017,CHECKPOST,CP-THN-02,Theni,Bodinayakanur,Kumily Border Post,9.6154,77.1654,2026-08-15,01:30:00,TRANSPORT_TRANSIT,TRANSPORT_TRANSIT,[REDACTED] Forest border crossing check flagged private SUV transporting unauthorized parcels.,VERIFIED,HIGH,2026-08-15 02:00:00
CMP-2026-018,CITIZEN,TIP-9978,Erode,Perundurai,Perundurai SIPCOT,11.2754,77.5854,2026-08-16,22:00:00,COMMUNITY_CONCERN,SUPPLY_SALE,[REDACTED] Worker hostel nearby flagged for unverified chemical solvent misuse.,UNDER_REVIEW,MEDIUM,2026-08-16 22:30:00
CMP-2026-019,POLICE,FIR/TPR/109/26,Tiruppur,Tiruppur,Avinashi Road Textile Cluster,11.1154,77.3451,2026-08-15,19:45:00,SEIZURE_ENFORCEMENT,SUPPLY_SALE,[REDACTED] Industrial dormitory raid recovered prescription painkiller tablets without valid license.,VERIFIED,HIGH,2026-08-15 20:30:00
CMP-2026-020,FIELD_OFFICER,MEMO-NLG-04,Nilgiris,Udhagamandalam,Ooty Commercial Road,11.4154,76.7054,2026-08-13,16:00:00,COMMUNITY_CONCERN,COMMUNITY_CONCERN,[REDACTED] Tourism weekend surge observation noting heightened youth recreational activities.,VERIFIED,LOW,2026-08-13 16:30:00
CMP-2026-021,CITIZEN,TIP-9995,Perambalur,Perambalur,Perambalur Old Bus Stand,11.2354,78.8754,2026-08-11,14:10:00,COMMUNITY_CONCERN,COMMUNITY_CONCERN,[REDACTED] Isolated unverified report of loitering. No corroborating evidence found.,UNVERIFIED,LOW,2026-08-11 14:30:00
CMP-2026-022,POLICE,FIR/TUT/89/26,Thoothukudi,Thoothukudi,Old Port Wharf Anchorage,8.7854,78.1554,2026-08-16,05:15:00,SEIZURE_ENFORCEMENT,TRANSPORT_TRANSIT,[REDACTED] Coastal marine wing patrol intercepted motorized fishing craft carrying concealed cargo.,CORROBORATED,CRITICAL,2026-08-16 06:00:00
CMP-2026-023,CHECKPOST,CP-KKI-01,Kanyakumari,Agastheeswaram,Kaliyakkavilai Interstate Post,8.3254,77.1654,2026-08-15,08:30:00,TRANSPORT_TRANSIT,TRANSPORT_TRANSIT,[REDACTED] Regular vehicle screening intercepted private courier van with prescription ampoules.,VERIFIED,HIGH,2026-08-15 09:00:00
CMP-2026-024,POLICE,FIR/RMD/34/26,Ramanathapuram,Rameshwaram,Mandapam Coastal Road,9.2754,79.1254,2026-08-14,03:20:00,SEIZURE_ENFORCEMENT,TRANSPORT_TRANSIT,[REDACTED] Joint Coast Guard and Police intercept of maritime transit cache.,CORROBORATED,HIGH,2026-08-14 04:00:00
CMP-2026-025,HEALTH,HOS-CHN-55,Chennai,Kilpauk,Kilpauk Institute of Mental Health,13.0784,80.2418,2026-08-16,10:00:00,REHAB_SERVICE_NEED,REHAB_SERVICE_NEED,[REDACTED] Aggregate monthly counseling demand summary: 16 voluntary youth intakes.,VERIFIED,LOW,2026-08-16 11:00:00
